file	uncovered_points	uncovered_lines	audit_contract	disposition	reason
node_queries.mbt	20	20,27,31,42,46,105,107,111,112,113,129,140,207,211,226	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
options.mbt	41	13,102,113,114,115,116,117,118,119,120,121,123,124,127,128,138,139,141,193,194,195,196,197,198,199,200,201,202,317,318,319,334,344,366,367,368,369	representation_constants	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parent_links.mbt	3	23	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_bindings_variables.mbt	21	27,35,107,108,133,153,184,187,203,204,205,206,207,208,216	parser_statements_declarations	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_declarations.mbt	88	46,56,114,117,118,119,120,122,153,168,192,219,229,230,231,233,268,280,281,283,312,337,406,407,408,409,410,412,416,417,418,419,522,523,527,528,533,538,548,550,551,552,553,556,593,641,674,684,685,688,689,692,693,695,697,704,842,884,902,958,965	parser_statements_declarations	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_expression_core.mbt	10	77,87,103,122,123,269	parser_expressions	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_expression_functions.mbt	80	11,19,30,33,34,39,48,81,83,84,85,87,88,89,90,92,94,95,99,101,102,104,168,175,178,179,180,181,186,190,191,192,193,194,198,202,243,247,260,297,305,320,351,356,359,368,384,388,389,415,428	parser_expressions	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_expression_literals.mbt	18	66,104,147,270,271,272,273,275,276,278,280,281	parser_expressions	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_expression_member.mbt	75	10,18,33,41,63,71,72,73,74,76,118,121,122,123,132,167,170,195,197,200,202,291,426,437,463,464,465,467,469,470,490,491,492,493,494,496,497,500,501,507,513,553,565,618,656,657,660,662,664,672,678	parser_expressions	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_expression_unary.mbt	1	33	parser_expressions	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_jsdoc.mbt	65	78,96,105,155,244,300,301,354,355,357,388,389,390,391,392,393,395,396,397,420,446,452,459,464,465,467,469,470,488,527,551,552,553,569,579,580,582,591,592,593,595,597,599,654,655,656,657,658,659,865,907	parser_jsdoc	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_jsdoc_tags.mbt	93	25,32,48,50,52,53,60,86,118,147,155,173,469,482,500,541,542,543,544,547,549,550,551,552,555,556,577,578,580,670,706,707,709,710,711,712,713,714,717,718,719,732,750,757,767,784,793,794,824,832,838,842,887,889,1063,1069,1091,1141,1180,1182,1188,1194,1199,1200,1201,1250,1273,1343	parser_jsdoc	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_jsdoc_types.mbt	14	16,17,19,96,110,111,170,175	parser_jsdoc	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_jsx.mbt	28	10,30,42,45,157,262,288,313,323,338,361,364,417,441,451,490,536,542,570	parser_jsx_tsx	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_lists.mbt	64	58,81,89,90,91,93,106,139,160,161,162,163,165,171,172,173,182,183,187,198,201,207,208,223,277,278,293,400,535,536,537,538,540,541,542,543,553,554,651,661,761	parser_core	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_modules.mbt	9	46,149,150,345,346,348,349,508	parser_modules_source	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_names_literals.mbt	18	26,27,28,32,33,35,44,45,47,73,155,173,204	parser_core	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_parameters_signatures.mbt	51	10,31,45,158,160,161,162,163,166,176,185,207,276,277,289,298,324,325,348,349,350,351,354,402,405,406,414,415,416,417,472,496,530	parser_types_signatures	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_pragmas.mbt	25	30,87,96,101,110,147,165,195,207,209,225,230,235,244,300,301,395,523,533	parser_source_public	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_public.mbt	56	12,17,22,23,30,122,123,124,125,126,127,128,130,135,137,140,141,142,143,144,146,151,153,225,241,267,272,302,310,342,347,364,400,405,408,427,429,434,510,513	parser_source_public	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_source_file.mbt	7	33,57,75,79,328	parser_modules_source	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_state.mbt	3	135,539	parser_core	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_state_kinds.mbt	113	356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,406,407,409,410,411,412,413,414,415,416,417,418,419,420	parser_core	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_statements.mbt	23	34,35,163,177,178,179,185,225,231,378,392,417	parser_core	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_tokens.mbt	37	26,72,73,241,243,244,284,296,322,428,438,444,446,453,462,563,607,611,619,623,629,653,656,676,703	parser_core	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
parser_types.mbt	48	68,102,199,227,292,320,325,351,367,368,370,396,430,541,548,551,552,553,560,561,562,592,595,602,641,642,643,647,649,811,812,813	parser_types_signatures	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner.mbt	58	70,74,112,187,204,227,275,313,359,401,446,485,672,673,730,731,836,838,840,859,861,863,907,909,911,961,963,974,975,977,978,980,981,983,985,986,987,988,989,991,993,994,996,1024,1042	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_jsx_jsdoc.mbt	35	37,38,51,53,197,198,199,207,209,210,211,212,213,215,217,218,219,220,221,222,224,227,246,247	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_literals.mbt	112	35,40,43,62,101,201,202,205,208,209,229,243,245,247,268,269,272,275,276,290,378,379,380,381,383,402,446,447,448,453,550,556,572,581,596,597,598,605,675,676,680,683,720,721,723,724,725,726,727,738,739,742,744,758,759,762,764,772,773,774,778,779,816,817,818,865,867,868,870,876	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_regexp.mbt	10	36,58,65,91,138,144,150,155,185	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_regexp_tables.mbt	6	19,20,114,115,186	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_regexp_validator.mbt	157	74,169,201,203,225,234,241,264,268,273,274,275,276,277,278,279,280,307,308,310,312,314,315,316,317,322,324,330,331,332,352,353,355,356,357,361,366,391,392,396,397,400,417,419,473,483,533,537,557,569,577,593,608,626,638,655,658,659,660,661,665,666,667,669,673,676,678,683,684,685,686,687,688,690,697,698,699,700,718,720,749,756,763,773,779,794,795,797,798,817,818,833,860,863,864,866,883,884,886,1049,1066,1087,1095,1108,1115,1163,1172,1175,1183,1187,1188,1189,1195,1196,1199,1205,1215,1222,1240	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_tables.mbt	14	470,471,472,473,474,475,478,479,480,520	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_trivia.mbt	16	94,100,101,102,104,105,107,108,111,112,172,244,279	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
scanner_unicode_tables.mbt	8	379,409,410,412,439	scanner	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
source_text.mbt	3	11,82,154	representation_constants	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
syntax_kind_names.mbt	1	370	representation_constants	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
text_range.mbt	9	75,104,118	representation_constants	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
