upstream_symbol	parser_access	source_locations	moonbit_implementation	test_location	status
NodeFactory.createCaseClause	direct factory call	src/compiler/parser.ts:7019	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createCatchClause	direct factory call	src/compiler/parser.ts:7112	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createClassDeclaration	direct factory call	src/compiler/parser.ts:8176	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createClassExpression	direct factory call	src/compiler/parser.ts:8177	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createClassStaticBlockDeclaration	direct factory call	src/compiler/parser.ts:7938	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createComputedPropertyName	direct factory call	src/compiler/parser.ts:2744	ast_names_tokens.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createConditionalExpression	direct factory call	src/compiler/parser.ts:5585	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createConditionalTypeNode	direct factory call	src/compiler/parser.ts:4956	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createConstructorDeclaration	direct factory call	src/compiler/parser.ts:7772	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createConstructorTypeNode	direct factory call	src/compiler/parser.ts:4518	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createConstructSignature	direct factory call	src/compiler/parser.ts:4197	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createContinueStatement	direct factory call	src/compiler/parser.ts:6987	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createDebuggerStatement	direct factory call	src/compiler/parser.ts:7120	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createDecorator	direct factory call	src/compiler/parser.ts:7977	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createDefaultClause	direct factory call	src/compiler/parser.ts:7027	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createDeleteExpression	direct factory call	src/compiler/parser.ts:5700	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createDoStatement	direct factory call	src/compiler/parser.ts:6913	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createElementAccessChain	captured as factoryCreateElementAccessChain	src/compiler/parser.ts:1485	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createElementAccessExpression	captured as factoryCreateElementAccessExpression	src/compiler/parser.ts:1484	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createEmptyStatement	direct factory call	src/compiler/parser.ts:6881	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createEnumDeclaration	direct factory call	src/compiler/parser.ts:8286	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createEnumMember	direct factory call	src/compiler/parser.ts:8272	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createExportAssignment	direct factory call	src/compiler/parser.ts:8749	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createExportDeclaration	direct factory call	src/compiler/parser.ts:8732	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createExportSpecifier	direct factory call	src/compiler/parser.ts:8686	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createExpressionStatement	captured as factoryCreateExpressionStatement	src/compiler/parser.ts:1492	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createExpressionWithTypeArguments	direct factory call	src/compiler/parser.ts:6032, src/compiler/parser.ts:6492, src/compiler/parser.ts:8223, src/compiler/parser.ts:9575	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createExternalModuleReference	direct factory call	src/compiler/parser.ts:8541	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createForInStatement	direct factory call	src/compiler/parser.ts:6959	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createForOfStatement	captured as factoryCreateForOfStatement	src/compiler/parser.ts:1496	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createForStatement	captured as factoryCreateForStatement	src/compiler/parser.ts:1495	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createFunctionDeclaration	direct factory call	src/compiler/parser.ts:7749	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createFunctionExpression	direct factory call	src/compiler/parser.ts:6793	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createFunctionTypeNode	direct factory call	src/compiler/parser.ts:4519	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createGetAccessorDeclaration	direct factory call	src/compiler/parser.ts:7858	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createHeritageClause	direct factory call	src/compiler/parser.ts:8213	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createIdentifier	captured as factoryCreateIdentifier	src/compiler/parser.ts:1477	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createIfStatement	captured as factoryCreateIfStatement	src/compiler/parser.ts:1493	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportAttribute	direct factory call	src/compiler/parser.ts:8453	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportAttributes	direct factory call	src/compiler/parser.ts:8474, src/compiler/parser.ts:8478	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportClause	direct factory call	src/compiler/parser.ts:8526	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportDeclaration	direct factory call	src/compiler/parser.ts:8421	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportEqualsDeclaration	direct factory call	src/compiler/parser.ts:8496	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportSpecifier	direct factory call	src/compiler/parser.ts:8685	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createImportTypeNode	direct factory call	src/compiler/parser.ts:4581	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createIndexedAccessTypeNode	direct factory call	src/compiler/parser.ts:4738	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createIndexSignature	direct factory call	src/compiler/parser.ts:4264	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createInferTypeNode	direct factory call	src/compiler/parser.ts:4778	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createInterfaceDeclaration	direct factory call	src/compiler/parser.ts:8245	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createIntersectionTypeNode	direct factory call	src/compiler/parser.ts:4840	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createJSDocAllType	direct factory call	src/compiler/parser.ts:3839	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocAugmentsTag	direct factory call	src/compiler/parser.ts:9543	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocAuthorTag	direct factory call	src/compiler/parser.ts:9510	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocCallbackTag	direct factory call	src/compiler/parser.ts:9727	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocClassTag	direct factory call	src/compiler/parser.ts:9117	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocComment	direct factory call	src/compiler/parser.ts:9021	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocDeprecatedTag	direct factory call	src/compiler/parser.ts:9136	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocEnumTag	direct factory call	src/compiler/parser.ts:9607	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocFunctionType	direct factory call	src/compiler/parser.ts:3884	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocImplementsTag	direct factory call	src/compiler/parser.ts:9538	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocImportTag	direct factory call	src/compiler/parser.ts:9565	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocLink	direct factory call	src/compiler/parser.ts:9322	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocLinkCode	direct factory call	src/compiler/parser.ts:9323	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocLinkPlain	direct factory call	src/compiler/parser.ts:9324	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocMemberName	direct factory call	src/compiler/parser.ts:8830, src/compiler/parser.ts:9339	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocNamepathType	direct factory call	src/compiler/parser.ts:3915	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocNameReference	direct factory call	src/compiler/parser.ts:8836	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocNonNullableType	direct factory call	src/compiler/parser.ts:3845, src/compiler/parser.ts:4723	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocNullableType	direct factory call	src/compiler/parser.ts:3874, src/compiler/parser.ts:4731	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocOptionalType	direct factory call	src/compiler/parser.ts:3941	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocOverloadTag	direct factory call	src/compiler/parser.ts:9738	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocOverrideTag	direct factory call	src/compiler/parser.ts:9132	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocParameterTag	direct factory call	src/compiler/parser.ts:9442	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocPrivateTag	direct factory call	src/compiler/parser.ts:9123	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocPropertyTag	direct factory call	src/compiler/parser.ts:9441	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocProtectedTag	direct factory call	src/compiler/parser.ts:9126	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocPublicTag	direct factory call	src/compiler/parser.ts:9120	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocReadonlyTag	direct factory call	src/compiler/parser.ts:9129	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocReturnTag	direct factory call	src/compiler/parser.ts:9472	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocSatisfiesTag	direct factory call	src/compiler/parser.ts:9549	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocSeeTag	direct factory call	src/compiler/parser.ts:9490	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocSignature	direct factory call	src/compiler/parser.ts:9715	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocTemplateTag	direct factory call	src/compiler/parser.ts:9880	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocText	direct factory call	src/compiler/parser.ts:8993, src/compiler/parser.ts:9017, src/compiler/parser.ts:9248, src/compiler/parser.ts:9300, src/compiler/parser.ts:9533	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocThisTag	direct factory call	src/compiler/parser.ts:9601	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocThrowsTag	direct factory call	src/compiler/parser.ts:9496	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocTypedefTag	direct factory call	src/compiler/parser.ts:9664	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocTypeExpression	direct factory call	src/compiler/parser.ts:8817, src/compiler/parser.ts:9461	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocTypeLiteral	direct factory call	src/compiler/parser.ts:9460, src/compiler/parser.ts:9647	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocTypeTag	direct factory call	src/compiler/parser.ts:9482	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocUnknownTag	direct factory call	src/compiler/parser.ts:9363	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocUnknownType	direct factory call	src/compiler/parser.ts:3871	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJSDocVariadicType	direct factory call	src/compiler/parser.ts:3937	ast_jsdoc.mbt	node_factory_jsdoc_contract_wbtest.mbt	complete
NodeFactory.createJsxAttribute	direct factory call	src/compiler/parser.ts:6300	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxAttributes	direct factory call	src/compiler/parser.ts:6191	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxClosingElement	direct factory call	src/compiler/parser.ts:6070, src/compiler/parser.ts:6353	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxElement	direct factory call	src/compiler/parser.ts:6067, src/compiler/parser.ts:6092	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxExpression	direct factory call	src/compiler/parser.ts:6291	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxFragment	direct factory call	src/compiler/parser.ts:6095	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxJsxClosingFragment	direct factory call	src/compiler/parser.ts:6368	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxNamespacedName	direct factory call	src/compiler/parser.ts:6260, src/compiler/parser.ts:6326	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxOpeningElement	direct factory call	src/compiler/parser.ts:6215	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxOpeningFragment	direct factory call	src/compiler/parser.ts:6202	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxSelfClosingElement	direct factory call	src/compiler/parser.ts:6228	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxSpreadAttribute	direct factory call	src/compiler/parser.ts:6337	ast_jsx.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createJsxText	direct factory call	src/compiler/parser.ts:6128	ast_names_tokens.mbt	node_factory_jsx_contract_wbtest.mbt	complete
NodeFactory.createLabeledStatement	direct factory call	src/compiler/parser.ts:7133	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createLiteralLikeNode	captured as factoryCreateLiteralLikeNode	src/compiler/parser.ts:1476	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createLiteralTypeNode	direct factory call	src/compiler/parser.ts:4539	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createMappedTypeNode	direct factory call	src/compiler/parser.ts:4435	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createMetaProperty	direct factory call	src/compiler/parser.ts:5945, src/compiler/parser.ts:6806	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createMethodDeclaration	direct factory call	src/compiler/parser.ts:7798	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createMethodSignature	direct factory call	src/compiler/parser.ts:4278	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createMissingDeclaration	direct factory call	src/compiler/parser.ts:2632	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createModuleBlock	direct factory call	src/compiler/parser.ts:8300	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createModuleDeclaration	direct factory call	src/compiler/parser.ts:8311, src/compiler/parser.ts:8334, src/compiler/parser.ts:9676	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createNamedExports	direct factory call	src/compiler/parser.ts:8591	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createNamedImports	direct factory call	src/compiler/parser.ts:8590	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createNamedTupleMember	direct factory call	src/compiler/parser.ts:4473	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createNamespaceExport	direct factory call	src/compiler/parser.ts:8698	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createNamespaceExportDeclaration	direct factory call	src/compiler/parser.ts:8378	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createNamespaceImport	direct factory call	src/compiler/parser.ts:8565	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createNewExpression	captured as factoryCreateNewExpression	src/compiler/parser.ts:1488	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createNodeArray	captured as factoryCreateNodeArray	src/compiler/parser.ts:1473	node_factory_flags.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createNonNullExpression	direct factory call	src/compiler/parser.ts:6487	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createNumericLiteral	captured as factoryCreateNumericLiteral	src/compiler/parser.ts:1474	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createObjectBindingPattern	direct factory call	src/compiler/parser.ts:7617	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createObjectLiteralExpression	captured as factoryCreateObjectLiteralExpression	src/compiler/parser.ts:1481	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createOmittedExpression	direct factory call	src/compiler/parser.ts:6681, src/compiler/parser.ts:7586	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createOptionalTypeNode	direct factory call	src/compiler/parser.ts:4445	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createParameterDeclaration	direct factory call	src/compiler/parser.ts:3897, src/compiler/parser.ts:4049, src/compiler/parser.ts:4077, src/compiler/parser.ts:5199	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createParenthesizedExpression	captured as factoryCreateParenthesizedExpression	src/compiler/parser.ts:1489	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createParenthesizedType	direct factory call	src/compiler/parser.ts:4494	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createPostfixUnaryExpression	direct factory call	src/compiler/parser.ts:5891	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createPrefixUnaryExpression	direct factory call	src/compiler/parser.ts:4537, src/compiler/parser.ts:5695, src/compiler/parser.ts:5878	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createPrivateIdentifier	captured as factoryCreatePrivateIdentifier	src/compiler/parser.ts:1478	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createPropertyAccessChain	captured as factoryCreatePropertyAccessChain	src/compiler/parser.ts:1483	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createPropertyAccessExpression	captured as factoryCreatePropertyAccessExpression	src/compiler/parser.ts:1482	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createPropertyAssignment	direct factory call	src/compiler/parser.ts:6746	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createPropertyDeclaration	direct factory call	src/compiler/parser.ts:7825	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createPropertySignature	direct factory call	src/compiler/parser.ts:4282	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createQualifiedName	direct factory call	src/compiler/parser.ts:3599, src/compiler/parser.ts:3610, src/compiler/parser.ts:9334	ast_names_tokens.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createRestTypeNode	direct factory call	src/compiler/parser.ts:4441	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createReturnStatement	direct factory call	src/compiler/parser.ts:6997	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createSatisfiesExpression	direct factory call	src/compiler/parser.ts:5682	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createSemicolonClassElement	direct factory call	src/compiler/parser.ts:8073	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createSetAccessorDeclaration	direct factory call	src/compiler/parser.ts:7859	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createShorthandPropertyAssignment	direct factory call	src/compiler/parser.ts:6738	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createSourceFile	direct factory call	src/compiler/parser.ts:1990	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createSpreadAssignment	direct factory call	src/compiler/parser.ts:6705	ast_misc_nodes.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createSpreadElement	direct factory call	src/compiler/parser.ts:6676	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createStringLiteral	captured as factoryCreateStringLiteral	src/compiler/parser.ts:1475	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createSwitchStatement	direct factory call	src/compiler/parser.ts:7050	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createTaggedTemplateExpression	direct factory call	src/compiler/parser.ts:6506	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createTemplateExpression	direct factory call	src/compiler/parser.ts:3671	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createTemplateLiteralLikeNode	direct factory call	src/compiler/parser.ts:2629, src/compiler/parser.ts:3762	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createTemplateLiteralType	direct factory call	src/compiler/parser.ts:3682	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTemplateLiteralTypeSpan	direct factory call	src/compiler/parser.ts:3705	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTemplateSpan	direct factory call	src/compiler/parser.ts:3727	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createThisTypeNode	direct factory call	src/compiler/parser.ts:3833	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createThrowStatement	direct factory call	src/compiler/parser.ts:7074	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createToken	captured as factoryCreateToken, direct factory call	src/compiler/parser.ts:1479, src/compiler/parser.ts:6262	ast_names_tokens.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createTryStatement	direct factory call	src/compiler/parser.ts:7094	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createTupleTypeNode	direct factory call	src/compiler/parser.ts:4482	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTypeAliasDeclaration	direct factory call	src/compiler/parser.ts:8259	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createTypeAssertion	direct factory call	src/compiler/parser.ts:6378	ast_expressions.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createTypeLiteralNode	direct factory call	src/compiler/parser.ts:4375	ast_types.mbt	node_factory_types_wbtest.mbt	complete
