upstream_symbol	code	category	message	placeholder_count	reachability	source_locations	moonbit_implementation	test_location	status
Diagnostics.Unexpected_end_of_text	1126	Error	Unexpected end of text.	0	scanner_public_parser, scanner_report_errors_only	src/compiler/scanner.ts:1547, src/compiler/scanner.ts:1732	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Invalid_character	1127	Error	Invalid character.	0	scanner_public_parser	src/compiler/scanner.ts:2321, src/compiler/scanner.ts:2361, src/compiler/scanner.ts:2383	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Declaration_or_statement_expected	1128	Error	Declaration or statement expected.	0	public_parser	src/compiler/parser.ts:3425, src/compiler/parser.ts:3427	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Statement_expected	1129	Error	Statement expected.	0	public_parser	src/compiler/parser.ts:3431	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.case_or_default_expected	1130	Error	'case' or 'default' expected.	0	public_parser	src/compiler/parser.ts:3429	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Property_or_signature_expected	1131	Error	Property or signature expected.	0	public_parser	src/compiler/parser.ts:3434	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Enum_member_expected	1132	Error	Enum member expected.	0	public_parser	src/compiler/parser.ts:3438	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Variable_declaration_expected	1134	Error	Variable declaration expected.	0	public_parser	src/compiler/parser.ts:3444	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Argument_expression_expected	1135	Error	Argument expression expected.	0	public_parser	src/compiler/parser.ts:3450	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Property_assignment_expected	1136	Error	Property assignment expected.	0	json_wrapper, public_parser	src/compiler/commandLineParser.ts:2498, src/compiler/parser.ts:3452	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expression_or_comma_expected	1137	Error	Expression or comma expected.	0	public_parser	src/compiler/parser.ts:3454	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Parameter_declaration_expected	1138	Error	Parameter declaration expected.	0	public_parser	src/compiler/parser.ts:3456, src/compiler/parser.ts:3460	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Type_parameter_declaration_expected	1139	Error	Type parameter declaration expected.	0	public_parser	src/compiler/parser.ts:3462	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Type_argument_expected	1140	Error	Type argument expected.	0	public_parser	src/compiler/parser.ts:3464	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Line_break_not_permitted_here	1142	Error	Line break not permitted here.	0	public_parser	src/compiler/parser.ts:8252	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.or_expected	1144	Error	'{' or ';' expected.	0	public_parser	src/compiler/parser.ts:7747, src/compiler/parser.ts:7771, src/compiler/parser.ts:7846	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.or_JSX_element_expected	1145	Error	'{' or JSX element expected.	0	public_parser	src/compiler/parser.ts:6314	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Declaration_expected	1146	Error	Declaration expected.	0	public_parser	src/compiler/parser.ts:7545, src/compiler/parser.ts:8124	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unterminated_template_literal	1160	Error	Unterminated template literal.	0	scanner_public_parser	src/compiler/scanner.ts:1474	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unterminated_regular_expression_literal	1161	Error	Unterminated regular expression literal.	0	scanner_public_parser	src/compiler/scanner.ts:2571	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Binary_digit_expected	1177	Error	Binary digit expected.	0	scanner_public_parser	src/compiler/scanner.ts:2149	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Octal_digit_expected	1178	Error	Octal digit expected.	0	scanner_public_parser	src/compiler/scanner.ts:2160	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_token_expected	1179	Error	Unexpected token. '{' expected.	0	public_parser	src/compiler/parser.ts:3468	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Property_destructuring_pattern_expected	1180	Error	Property destructuring pattern expected.	0	public_parser	src/compiler/parser.ts:3446	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Array_element_destructuring_pattern_expected	1181	Error	Array element destructuring pattern expected.	0	public_parser	src/compiler/parser.ts:3448	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Merge_conflict_marker_encountered	1185	Error	Merge conflict marker encountered.	0	scanner_public_parser	src/compiler/scanner.ts:764	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_extended_Unicode_escape_value_must_be_between_0x0_and_0x10FFFF_inclusive	1198	Error	An extended Unicode escape value must be between 0x0 and 0x10FFFF inclusive.	0	scanner_public_parser, scanner_report_errors_only	src/compiler/scanner.ts:1725	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unterminated_Unicode_escape_sequence	1199	Error	Unterminated Unicode escape sequence.	0	scanner_public_parser	src/compiler/scanner.ts:1742	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Invalid_optional_chain_from_new_expression_Did_you_mean_to_call_0	1209	Error	Invalid optional chain from new expression. Did you mean to call '{0}()'?	1	public_parser	src/compiler/parser.ts:6817	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics._0_tag_already_specified	1223	Error	'{0}' tag already specified.	1	public_parser	src/compiler/parser.ts:9468, src/compiler/parser.ts:9477	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_type_predicate_is_only_allowed_in_return_type_position_for_functions_and_methods	1228	Error	A type predicate is only allowed in return type position for functions and methods.	0	public_parser	src/compiler/parser.ts:2399	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Keywords_cannot_contain_escape_characters	1260	Error	Keywords cannot contain escape characters.	0	public_parser	src/compiler/parser.ts:2211	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.String_literal_with_double_quotes_expected	1327	Error	String literal with double quotes expected.	0	json_wrapper	src/compiler/commandLineParser.ts:2506, src/compiler/commandLineParser.ts:2551	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Property_value_can_only_be_string_literal_numeric_literal_true_false_null_object_literal_or_array_literal	1328	Error	Property value can only be string literal, numeric literal, 'true', 'false', 'null', object literal or array literal.	0	json_wrapper	src/compiler/commandLineParser.ts:2587	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_identifier_or_keyword_cannot_immediately_follow_a_numeric_literal	1351	Error	An identifier or keyword cannot immediately follow a numeric literal.	0	scanner_public_parser	src/compiler/scanner.ts:1343	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_bigint_literal_cannot_use_exponential_notation	1352	Error	A bigint literal cannot use exponential notation.	0	scanner_public_parser	src/compiler/scanner.ts:1336	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_bigint_literal_must_be_an_integer	1353	Error	A bigint literal must be an integer.	0	scanner_public_parser	src/compiler/scanner.ts:1339	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_enum_member_name_must_be_followed_by_a_or	1357	Error	An enum member name must be followed by a ',', '=', or '}'.	0	public_parser	src/compiler/parser.ts:3562	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Identifier_expected_0_is_a_reserved_word_that_cannot_be_used_here	1359	Error	Identifier expected. '{0}' is a reserved word that cannot be used here.	1	public_parser	src/compiler/parser.ts:2678	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Did_you_mean_0	1369	Message	Did you mean '{0}'?	1	scanner_report_errors_only	src/compiler/scanner.ts:3498, src/compiler/scanner.ts:3511, src/compiler/scanner.ts:3534, src/compiler/scanner.ts:3591	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_token_Did_you_mean_or_rbrace	1381	Error	Unexpected token. Did you mean `{'}'}` or `&rbrace;`?	0	scanner_public_parser	src/compiler/scanner.ts:3739	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_token_Did_you_mean_or_gt	1382	Error	Unexpected token. Did you mean `{'>'}` or `&gt;`?	0	scanner_public_parser	src/compiler/scanner.ts:3736	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Function_type_notation_must_be_parenthesized_when_used_in_a_union_type	1385	Error	Function type notation must be parenthesized when used in a union type.	0	public_parser	src/compiler/parser.ts:4805	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Constructor_type_notation_must_be_parenthesized_when_used_in_a_union_type	1386	Error	Constructor type notation must be parenthesized when used in a union type.	0	public_parser	src/compiler/parser.ts:4810	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Function_type_notation_must_be_parenthesized_when_used_in_an_intersection_type	1387	Error	Function type notation must be parenthesized when used in an intersection type.	0	public_parser	src/compiler/parser.ts:4806	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Constructor_type_notation_must_be_parenthesized_when_used_in_an_intersection_type	1388	Error	Constructor type notation must be parenthesized when used in an intersection type.	0	public_parser	src/compiler/parser.ts:4811	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics._0_is_not_allowed_as_a_variable_declaration_name	1389	Error	'{0}' is not allowed as a variable declaration name.	1	public_parser	src/compiler/parser.ts:3443	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics._0_is_not_allowed_as_a_parameter_name	1390	Error	'{0}' is not allowed as a parameter name.	1	public_parser	src/compiler/parser.ts:3459	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Neither_decorators_nor_modifiers_may_be_applied_to_this_parameters	1433	Error	Neither decorators nor modifiers may be applied to 'this' parameters.	0	public_parser	src/compiler/parser.ts:4060	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_keyword_or_identifier	1434	Error	Unexpected keyword or identifier.	0	public_parser	src/compiler/parser.ts:2425	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unknown_keyword_or_identifier_Did_you_mean_0	1435	Error	Unknown keyword or identifier. Did you mean '{0}'?	1	public_parser	src/compiler/parser.ts:2415	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Decorators_must_precede_the_name_and_all_keywords_of_property_declarations	1436	Error	Decorators must precede the name and all keywords of property declarations.	0	public_parser	src/compiler/parser.ts:2456	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Namespace_must_be_given_a_name	1437	Error	Namespace must be given a name.	0	public_parser	src/compiler/parser.ts:2404	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Interface_must_be_given_a_name	1438	Error	Interface must be given a name.	0	public_parser	src/compiler/parser.ts:2395	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Type_alias_must_be_given_a_name	1439	Error	Type alias must be given a name.	0	public_parser	src/compiler/parser.ts:2408	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Variable_declaration_not_allowed_at_this_location	1440	Error	Variable declaration not allowed at this location.	0	public_parser	src/compiler/parser.ts:2387	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Cannot_start_a_function_call_in_a_type_annotation	1441	Error	Cannot start a function call in a type annotation.	0	public_parser	src/compiler/parser.ts:2461	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_for_property_initializer	1442	Error	Expected '=' for property initializer.	0	public_parser	src/compiler/parser.ts:2471	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Module_declaration_names_may_only_use_or_quoted_strings	1443	Error	Module declaration names may only use ' or " quoted strings.	0	public_parser	src/compiler/parser.ts:2369	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.resolution_mode_should_be_either_require_or_import	1453	Error	`resolution-mode` should be either `require` or `import`.	0	public_parser	src/compiler/parser.ts:10586	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.catch_or_finally_expected	1472	Error	'catch' or 'finally' expected.	0	public_parser	src/compiler/parser.ts:7090	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_instantiation_expression_cannot_be_followed_by_a_property_access	1477	Error	An instantiation expression cannot be followed by a property access.	0	public_parser	src/compiler/parser.ts:6427	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Identifier_or_string_literal_expected	1478	Error	Identifier or string literal expected.	0	public_parser	src/compiler/parser.ts:3479	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Octal_escape_sequences_are_not_allowed_Use_the_syntax_0	1487	Error	Octal escape sequences are not allowed. Use the syntax '{0}'.	1	scanner_public_parser, scanner_report_errors_only	src/compiler/scanner.ts:1586	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Escape_sequence_0_is_not_allowed	1488	Error	Escape sequence '{0}' is not allowed.	1	scanner_public_parser, scanner_report_errors_only	src/compiler/scanner.ts:1600	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Decimals_with_leading_zeros_are_not_allowed	1489	Error	Decimals with leading zeros are not allowed.	0	scanner_public_parser	src/compiler/scanner.ts:1306	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.File_appears_to_be_binary	1490	Error	File appears to be binary.	0	scanner_public_parser	src/compiler/scanner.ts:2365	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unknown_regular_expression_flag	1499	Error	Unknown regular expression flag.	0	scanner_report_errors_only	src/compiler/scanner.ts:2586, src/compiler/scanner.ts:2871	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Duplicate_regular_expression_flag	1500	Error	Duplicate regular expression flag.	0	scanner_report_errors_only	src/compiler/scanner.ts:2589, src/compiler/scanner.ts:2874	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.This_regular_expression_flag_is_only_available_when_targeting_0_or_later	1501	Error	This regular expression flag is only available when targeting '{0}' or later.	1	scanner_report_errors_only	src/compiler/scanner.ts:3614	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.The_Unicode_u_flag_and_the_Unicode_Sets_v_flag_cannot_be_set_simultaneously	1502	Error	The Unicode (u) flag and the Unicode Sets (v) flag cannot be set simultaneously.	0	scanner_report_errors_only	src/compiler/scanner.ts:2592	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Named_capturing_groups_are_only_available_when_targeting_ES2018_or_later	1503	Error	Named capturing groups are only available when targeting 'ES2018' or later.	0	scanner_report_errors_only	src/compiler/scanner.ts:2736	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Subpattern_flags_must_be_present_when_there_is_a_minus_sign	1504	Error	Subpattern flags must be present when there is a minus sign.	0	scanner_report_errors_only	src/compiler/scanner.ts:2750	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Incomplete_quantifier_Digit_expected	1505	Error	Incomplete quantifier. Digit expected.	0	scanner_report_errors_only	src/compiler/scanner.ts:2780	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Numbers_out_of_order_in_quantifier	1506	Error	Numbers out of order in quantifier.	0	scanner_report_errors_only	src/compiler/scanner.ts:2789	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.There_is_nothing_available_for_repetition	1507	Error	There is nothing available for repetition.	0	scanner_report_errors_only	src/compiler/scanner.ts:2819	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_0_Did_you_mean_to_escape_it_with_backslash	1508	Error	Unexpected '{0}'. Did you mean to escape it with backslash?	1	scanner_report_errors_only	src/compiler/scanner.ts:2783, src/compiler/scanner.ts:2794, src/compiler/scanner.ts:2846, src/compiler/scanner.ts:3129, src/compiler/scanner.ts:3194, src/compiler/scanner.ts:3199, src/compiler/scanner.ts:3252, src/compiler/scanner.ts:3257, src/compiler/scanner.ts:3425	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.This_regular_expression_flag_cannot_be_toggled_within_a_subpattern	1509	Error	This regular expression flag cannot be toggled within a subpattern.	0	scanner_report_errors_only	src/compiler/scanner.ts:2877	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.k_must_be_followed_by_a_capturing_group_name_enclosed_in_angle_brackets	1510	Error	'\k' must be followed by a capturing group name enclosed in angle brackets.	0	scanner_report_errors_only	src/compiler/scanner.ts:2904	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.q_is_only_available_inside_character_class	1511	Error	'\q' is only available inside character class.	0	scanner_report_errors_only	src/compiler/scanner.ts:2910	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.c_must_be_followed_by_an_ASCII_letter	1512	Error	'\c' must be followed by an ASCII letter.	0	scanner_report_errors_only	src/compiler/scanner.ts:2957	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Undetermined_character_escape	1513	Error	Undetermined character escape.	0	scanner_report_errors_only	src/compiler/scanner.ts:2947	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_a_capturing_group_name	1514	Error	Expected a capturing group name.	0	scanner_report_errors_only	src/compiler/scanner.ts:3002	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Named_capturing_groups_with_the_same_name_must_be_mutually_exclusive_to_each_other	1515	Error	Named capturing groups with the same name must be mutually exclusive to each other.	0	scanner_report_errors_only	src/compiler/scanner.ts:3008	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_character_class_range_must_not_be_bounded_by_another_character_class	1516	Error	A character class range must not be bounded by another character class.	0	scanner_report_errors_only	src/compiler/scanner.ts:3043, src/compiler/scanner.ts:3048, src/compiler/scanner.ts:3161, src/compiler/scanner.ts:3170	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Range_out_of_order_in_character_class	1517	Error	Range out of order in character class.	0	scanner_report_errors_only	src/compiler/scanner.ts:3061, src/compiler/scanner.ts:3183	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Anything_that_would_possibly_match_more_than_a_single_character_is_invalid_inside_a_negated_character_class	1518	Error	Anything that would possibly match more than a single character is invalid inside a negated character class.	0	scanner_report_errors_only	src/compiler/scanner.ts:3110, src/compiler/scanner.ts:3122, src/compiler/scanner.ts:3134, src/compiler/scanner.ts:3166, src/compiler/scanner.ts:3524	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Operators_must_not_be_mixed_within_a_character_class_Wrap_it_in_a_nested_class_instead	1519	Error	Operators must not be mixed within a character class. Wrap it in a nested class instead.	0	scanner_report_errors_only	src/compiler/scanner.ts:3154, src/compiler/scanner.ts:3192, src/compiler/scanner.ts:3211, src/compiler/scanner.ts:3237, src/compiler/scanner.ts:3241, src/compiler/scanner.ts:3249	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_a_class_set_operand	1520	Error	Expected a class set operand.	0	scanner_report_errors_only	src/compiler/scanner.ts:3099, src/compiler/scanner.ts:3275	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.q_must_be_followed_by_string_alternatives_enclosed_in_braces	1521	Error	'\q' must be followed by string alternatives enclosed in braces.	0	scanner_report_errors_only	src/compiler/scanner.ts:3314	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.A_character_class_must_not_contain_a_reserved_double_punctuator_Did_you_mean_to_escape_it_with_backslash	1522	Error	A character class must not contain a reserved double punctuator. Did you mean to escape it with backslash?	0	scanner_report_errors_only	src/compiler/scanner.ts:3410	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_a_Unicode_property_name	1523	Error	Expected a Unicode property name.	0	scanner_report_errors_only	src/compiler/scanner.ts:3492	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unknown_Unicode_property_name	1524	Error	Unknown Unicode property name.	0	scanner_report_errors_only	src/compiler/scanner.ts:3495	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_a_Unicode_property_value	1525	Error	Expected a Unicode property value.	0	scanner_report_errors_only	src/compiler/scanner.ts:3505	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unknown_Unicode_property_value	1526	Error	Unknown Unicode property value.	0	scanner_report_errors_only	src/compiler/scanner.ts:3508	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expected_a_Unicode_property_name_or_value	1527	Error	Expected a Unicode property name or value.	0	scanner_report_errors_only	src/compiler/scanner.ts:3517	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Any_Unicode_property_that_would_possibly_match_more_than_a_single_character_is_only_available_when_the_Unicode_Sets_v_flag_is_set	1528	Error	Any Unicode property that would possibly match more than a single character is only available when the Unicode Sets (v) flag is set.	0	scanner_report_errors_only	src/compiler/scanner.ts:3521	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unknown_Unicode_property_name_or_value	1529	Error	Unknown Unicode property name or value.	0	scanner_report_errors_only	src/compiler/scanner.ts:3531	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unicode_property_value_expressions_are_only_available_when_the_Unicode_u_flag_or_the_Unicode_Sets_v_flag_is_set	1530	Error	Unicode property value expressions are only available when the Unicode (u) flag or the Unicode Sets (v) flag is set.	0	scanner_report_errors_only	src/compiler/scanner.ts:3540	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics._0_must_be_followed_by_a_Unicode_property_value_expression_enclosed_in_braces	1531	Error	'\{0}' must be followed by a Unicode property value expression enclosed in braces.	1	scanner_report_errors_only	src/compiler/scanner.ts:3544	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.There_is_no_capturing_group_named_0_in_this_regular_expression	1532	Error	There is no capturing group named '{0}' in this regular expression.	1	scanner_report_errors_only	src/compiler/scanner.ts:3587	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
